image1,image2,image3,flexibility_manual,categories_image1,categories_image2,categories_image3,flexibility_category
../../data/AI/prompt_1/stimuli_G/Dalle15.png,../../data/AI/prompt_1/stimuli_I/Dalle21.png,../../data/AI/prompt_1/stimuli_R/Dalle32.png,0,abstract doodle/hard to interpret,abstract doodle/hard to interpret,abstract doodle/hard to interpret,0
../../data/AI/prompt_1/stimuli_G/Dalle33.png,../../data/AI/prompt_1/stimuli_I/Dalle14.png,../../data/AI/prompt_1/stimuli_R/Dalle43.png,0,abstract doodle/hard to interpret,abstract doodle/hard to interpret,abstract doodle/hard to interpret,0
../../data/AI/prompt_1/stimuli_G/Dalle04.png,../../data/AI/prompt_1/stimuli_I/Dalle18.png,../../data/AI/prompt_1/stimuli_R/Dalle17.png,0,abstract doodle/hard to interpret,face(s),abstract doodle/hard to interpret,1
../../data/AI/prompt_1/stimuli_G/Dalle39.png,../../data/AI/prompt_1/stimuli_I/Dalle08.png,../../data/AI/prompt_1/stimuli_R/Dalle19.png,0,abstract doodle/hard to interpret,abstract doodle/hard to interpret,bug,1
../../data/AI/prompt_1/stimuli_G/Dalle10.png,../../data/AI/prompt_1/stimuli_I/Dalle33.png,../../data/AI/prompt_1/stimuli_R/Dalle44.png,1,door curtain,abstract doodle/hard to interpret,face(s),2
../../data/AI/prompt_1/stimuli_G/Dalle13.png,../../data/AI/prompt_1/stimuli_I/Dalle48.png,../../data/AI/prompt_1/stimuli_R/Dalle24.png,1,maze,face(s),abstract doodle/hard to interpret,2
../../data/AI/prompt_1/stimuli_G/Dalle42.png,../../data/AI/prompt_1/stimuli_I/Dalle26.png,../../data/AI/prompt_1/stimuli_R/Dalle45.png,2,door river arch,abstract doodle/hard to interpret,abstract doodle/hard to interpret,1
../../data/AI/prompt_1/stimuli_G/Dalle16.png,../../data/AI/prompt_1/stimuli_I/Dalle07.png,../../data/AI/prompt_1/stimuli_R/Dalle34.png,1,person(s) fruit(s) table,person(s) lamp,abstract doodle/hard to interpret,2
../../data/AI/prompt_1/stimuli_G/Dalle41.png,../../data/AI/prompt_1/stimuli_I/Dalle20.png,../../data/AI/prompt_1/stimuli_R/Dalle20.png,0,abstract doodle/hard to interpret,abstract doodle/hard to interpret,abstract doodle/hard to interpret,0
../../data/AI/prompt_1/stimuli_G/Dalle07.png,../../data/AI/prompt_1/stimuli_I/Dalle49.png,../../data/AI/prompt_1/stimuli_R/Dalle12.png,0,abstract doodle/hard to interpret,abstract doodle/hard to interpret,abstract doodle/hard to interpret,0
