pid,creator,age,filenames,filepaths,flexibility_manual,flexibility_categories
16,adults,,"16__3473_9.jpg, 16__3474_11.jpg, 16__3479_56.jpg","../data/adults/stimuli_G/16__3473_9.jpg, ../data/adults/stimuli_I/16__3474_11.jpg, ../data/adults/stimuli_R/16__3479_56.jpg",1,2
21,adults,,"21__3508_9.jpg, 21__3509_11.jpg, 21__3515_56.jpg","../data/adults/stimuli_G/21__3508_9.jpg, ../data/adults/stimuli_I/21__3509_11.jpg, ../data/adults/stimuli_R/21__3515_56.jpg",2,2
26,adults,,"26__3553_9.jpg, 26__3554_11.jpg, 26__3560_56.jpg","../data/adults/stimuli_G/26__3553_9.jpg, ../data/adults/stimuli_I/26__3554_11.jpg, ../data/adults/stimuli_R/26__3560_56.jpg",1,2
27,adults,,"27__3565_9.jpg, 27__5150_11.jpg, 27__3572_56.jpg","../data/adults/stimuli_G/27__3565_9.jpg, ../data/adults/stimuli_I/27__5150_11.jpg, ../data/adults/stimuli_R/27__3572_56.jpg",2,2
32,adults,,"32__3577_9.jpg, 32__3578_11.jpg, 32__3584_56.jpg","../data/adults/stimuli_G/32__3577_9.jpg, ../data/adults/stimuli_I/32__3578_11.jpg, ../data/adults/stimuli_R/32__3584_56.jpg",0,1
44,adults,,"44__3661_9.jpg, 44__3662_11.jpg, 44__3668_56.jpg","../data/adults/stimuli_G/44__3661_9.jpg, ../data/adults/stimuli_I/44__3662_11.jpg, ../data/adults/stimuli_R/44__3668_56.jpg",0,0
46,adults,,"46__3684_9.jpg, 46__3685_11.jpg, 46__3689_56.jpg","../data/adults/stimuli_G/46__3684_9.jpg, ../data/adults/stimuli_I/46__3685_11.jpg, ../data/adults/stimuli_R/46__3689_56.jpg",1,1
62,adults,,"62__3706_9.jpg, 62__3707_11.jpg, 62__3713_56.jpg","../data/adults/stimuli_G/62__3706_9.jpg, ../data/adults/stimuli_I/62__3707_11.jpg, ../data/adults/stimuli_R/62__3713_56.jpg",1,1
66,adults,,"66__3730_9.jpg, 66__3731_11.jpg, 66__3735_56.jpg","../data/adults/stimuli_G/66__3730_9.jpg, ../data/adults/stimuli_I/66__3731_11.jpg, ../data/adults/stimuli_R/66__3735_56.jpg",1,2
85,adults,,"85__3786_9.jpg, 85__3787_11.jpg, 85__3793_56.jpg","../data/adults/stimuli_G/85__3786_9.jpg, ../data/adults/stimuli_I/85__3787_11.jpg, ../data/adults/stimuli_R/85__3793_56.jpg",2,2
103,adults,,"103__3832_9.jpg, 103__3833_11.jpg, 103__3839_56.jpg","../data/adults/stimuli_G/103__3832_9.jpg, ../data/adults/stimuli_I/103__3833_11.jpg, ../data/adults/stimuli_R/103__3839_56.jpg",1,2
110,adults,,"110__3846_9.jpg, 110__3847_11.jpg, 110__3853_56.jpg","../data/adults/stimuli_G/110__3846_9.jpg, ../data/adults/stimuli_I/110__3847_11.jpg, ../data/adults/stimuli_R/110__3853_56.jpg",2,2
113,adults,,"113__3868_9.jpg, 113__3869_11.jpg, 113__3875_56.jpg","../data/adults/stimuli_G/113__3868_9.jpg, ../data/adults/stimuli_I/113__3869_11.jpg, ../data/adults/stimuli_R/113__3875_56.jpg",1,1
138,adults,,"138__5325_9.jpg, 138__5326_11.jpg, 138__5332_56.jpg","../data/adults/stimuli_G/138__5325_9.jpg, ../data/adults/stimuli_I/138__5326_11.jpg, ../data/adults/stimuli_R/138__5332_56.jpg",1,1
140,adults,,"140__3910_9.jpg, 140__3911_11.jpg, 140__3917_56.jpg","../data/adults/stimuli_G/140__3910_9.jpg, ../data/adults/stimuli_I/140__3911_11.jpg, ../data/adults/stimuli_R/140__3917_56.jpg",2,2
157,adults,,"157__3922_9.jpg, 157__3923_11.jpg, 157__3929_56.jpg","../data/adults/stimuli_G/157__3922_9.jpg, ../data/adults/stimuli_I/157__3923_11.jpg, ../data/adults/stimuli_R/157__3929_56.jpg",0,0
174,adults,,"174__3967_9.jpg, 174__3968_11.jpg, 174__3974_56.jpg","../data/adults/stimuli_G/174__3967_9.jpg, ../data/adults/stimuli_I/174__3968_11.jpg, ../data/adults/stimuli_R/174__3974_56.jpg",1,2
180,adults,,"180__4001_9.jpg, 180__4002_11.jpg, 180__4008_56.jpg","../data/adults/stimuli_G/180__4001_9.jpg, ../data/adults/stimuli_I/180__4002_11.jpg, ../data/adults/stimuli_R/180__4008_56.jpg",2,1
181,adults,,"181__5394_9.jpg, 181__5395_11.jpg, 181__5401_56.jpg","../data/adults/stimuli_G/181__5394_9.jpg, ../data/adults/stimuli_I/181__5395_11.jpg, ../data/adults/stimuli_R/181__5401_56.jpg",2,2
182,adults,,"182__5406_9.jpg, 182__5407_11.jpg, 182__5413_56.jpg","../data/adults/stimuli_G/182__5406_9.jpg, ../data/adults/stimuli_I/182__5407_11.jpg, ../data/adults/stimuli_R/182__5413_56.jpg",2,2
