pid,creator,age,filenames,filepaths,flexibility_manual,flexibility_categories
1001,children,5.0,"1001.png, 1001.png, 1001.png","../data/children/stimuli_G/1001.png, ../data/children/stimuli_I/1001.png, ../data/children/stimuli_R/1001.png",1.0,1.0
1002,children,5.0,"1002.png, 1002.png, 1002.png","../data/children/stimuli_G/1002.png, ../data/children/stimuli_I/1002.png, ../data/children/stimuli_R/1002.png",1.0,1.0
1003,children,5.0,"1003.png, 1003.png, 1003.png","../data/children/stimuli_G/1003.png, ../data/children/stimuli_I/1003.png, ../data/children/stimuli_R/1003.png",1.0,2.0
1004,children,4.0,"1004.png, 1004.png, 1004.png","../data/children/stimuli_G/1004.png, ../data/children/stimuli_I/1004.png, ../data/children/stimuli_R/1004.png",1.0,2.0
1005,children,4.0,"1005.png, 1005.png, 1005.png","../data/children/stimuli_G/1005.png, ../data/children/stimuli_I/1005.png, ../data/children/stimuli_R/1005.png",1.0,2.0
1006,children,5.0,"1006.png, 1006.png, 1006.png","../data/children/stimuli_G/1006.png, ../data/children/stimuli_I/1006.png, ../data/children/stimuli_R/1006.png",1.0,1.0
1007,children,5.0,"1007.png, 1007.png, 1007.png","../data/children/stimuli_G/1007.png, ../data/children/stimuli_I/1007.png, ../data/children/stimuli_R/1007.png",2.0,2.0
1008,children,7.0,"1008.png, 1008.png, 1008.png","../data/children/stimuli_G/1008.png, ../data/children/stimuli_I/1008.png, ../data/children/stimuli_R/1008.png",2.0,2.0
1009,children,6.0,"1009.png, 1009.png, 1009.png","../data/children/stimuli_G/1009.png, ../data/children/stimuli_I/1009.png, ../data/children/stimuli_R/1009.png",1.0,2.0
1010,children,4.0,"1010.png, 1010.png, 1010.png","../data/children/stimuli_G/1010.png, ../data/children/stimuli_I/1010.png, ../data/children/stimuli_R/1010.png",2.0,2.0
1011,children,5.0,"1011.png, 1011.png, 1011.png","../data/children/stimuli_G/1011.png, ../data/children/stimuli_I/1011.png, ../data/children/stimuli_R/1011.png",0.0,1.0
1012,children,6.0,"1012.png, 1012.png, 1012.png","../data/children/stimuli_G/1012.png, ../data/children/stimuli_I/1012.png, ../data/children/stimuli_R/1012.png",1.0,1.0
1013,children,5.0,"1013.png, 1013.png, 1013.png","../data/children/stimuli_G/1013.png, ../data/children/stimuli_I/1013.png, ../data/children/stimuli_R/1013.png",0.0,0.0
1014,children,5.0,"1014.png, 1014.png, 1014.png","../data/children/stimuli_G/1014.png, ../data/children/stimuli_I/1014.png, ../data/children/stimuli_R/1014.png",1.0,1.0
1015,children,6.0,"1015.png, 1015.png, 1015.png","../data/children/stimuli_G/1015.png, ../data/children/stimuli_I/1015.png, ../data/children/stimuli_R/1015.png",0.0,1.0
1016,children,5.0,"1016.png, 1016.png, 1016.png","../data/children/stimuli_G/1016.png, ../data/children/stimuli_I/1016.png, ../data/children/stimuli_R/1016.png",1.0,2.0
1017,children,5.0,"1017.png, 1017.png, 1017.png","../data/children/stimuli_G/1017.png, ../data/children/stimuli_I/1017.png, ../data/children/stimuli_R/1017.png",2.0,2.0
1018,children,6.0,"1018.png, 1018.png, 1018.png","../data/children/stimuli_G/1018.png, ../data/children/stimuli_I/1018.png, ../data/children/stimuli_R/1018.png",0.0,1.0
1019,children,6.0,"1019.png, 1019.png, 1019.png","../data/children/stimuli_G/1019.png, ../data/children/stimuli_I/1019.png, ../data/children/stimuli_R/1019.png",1.0,1.0
1020,children,6.0,"1020.png, 1020.png, 1020.png","../data/children/stimuli_G/1020.png, ../data/children/stimuli_I/1020.png, ../data/children/stimuli_R/1020.png",1.0,1.0
1022,children,5.0,"1022.png, 1022.png, 1022.png","../data/children/stimuli_G/1022.png, ../data/children/stimuli_I/1022.png, ../data/children/stimuli_R/1022.png",1.0,1.0
1023,children,6.0,"1023.png, 1023.png, 1023.png","../data/children/stimuli_G/1023.png, ../data/children/stimuli_I/1023.png, ../data/children/stimuli_R/1023.png",1.0,2.0
1024,children,5.0,"1024.png, 1024.png, 1024.png","../data/children/stimuli_G/1024.png, ../data/children/stimuli_I/1024.png, ../data/children/stimuli_R/1024.png",0.0,1.0
1025,children,6.0,"1025.png, 1025.png, 1025.png","../data/children/stimuli_G/1025.png, ../data/children/stimuli_I/1025.png, ../data/children/stimuli_R/1025.png",2.0,2.0
1026,children,6.0,"1026.png, 1026.png, 1026.png","../data/children/stimuli_G/1026.png, ../data/children/stimuli_I/1026.png, ../data/children/stimuli_R/1026.png",0.0,0.0
1027,children,6.0,"1027.png, 1027.png, 1027.png","../data/children/stimuli_G/1027.png, ../data/children/stimuli_I/1027.png, ../data/children/stimuli_R/1027.png",2.0,2.0
1028,children,6.0,"1028.png, 1028.png, 1028.png","../data/children/stimuli_G/1028.png, ../data/children/stimuli_I/1028.png, ../data/children/stimuli_R/1028.png",2.0,2.0
1029,children,5.0,"1029.png, 1029.png, 1029.png","../data/children/stimuli_G/1029.png, ../data/children/stimuli_I/1029.png, ../data/children/stimuli_R/1029.png",0.0,0.0
2001,children,4.0,"2001.png, 2001.png, 2001.png","../data/children/stimuli_G/2001.png, ../data/children/stimuli_I/2001.png, ../data/children/stimuli_R/2001.png",0.0,0.0
2002,children,4.0,"2002.png, 2002.png, 2002.png","../data/children/stimuli_G/2002.png, ../data/children/stimuli_I/2002.png, ../data/children/stimuli_R/2002.png",0.0,0.0
2003,children,5.0,"2003.png, 2003.png, 2003.png","../data/children/stimuli_G/2003.png, ../data/children/stimuli_I/2003.png, ../data/children/stimuli_R/2003.png",0.0,0.0
2004,children,4.0,"2004.png, 2004.png, 2004.png","../data/children/stimuli_G/2004.png, ../data/children/stimuli_I/2004.png, ../data/children/stimuli_R/2004.png",0.0,0.0
2009,children,5.0,"2009.png, 2009.png, 2009.png","../data/children/stimuli_G/2009.png, ../data/children/stimuli_I/2009.png, ../data/children/stimuli_R/2009.png",0.0,0.0
2010,children,5.0,"2010.png, 2010.png, 2010.png","../data/children/stimuli_G/2010.png, ../data/children/stimuli_I/2010.png, ../data/children/stimuli_R/2010.png",2.0,2.0
2011,children,6.0,"2011.png, 2011.png, 2011.png","../data/children/stimuli_G/2011.png, ../data/children/stimuli_I/2011.png, ../data/children/stimuli_R/2011.png",1.0,1.0
2012,children,5.0,"2012.png, 2012.png, 2012.png","../data/children/stimuli_G/2012.png, ../data/children/stimuli_I/2012.png, ../data/children/stimuli_R/2012.png",0.0,1.0
2013,children,5.0,"2013.png, 2013.png, 2013.png","../data/children/stimuli_G/2013.png, ../data/children/stimuli_I/2013.png, ../data/children/stimuli_R/2013.png",0.0,0.0
2014,children,6.0,"2014.png, 2014.png, 2014.png","../data/children/stimuli_G/2014.png, ../data/children/stimuli_I/2014.png, ../data/children/stimuli_R/2014.png",1.0,2.0
2015,children,4.0,"2015.png, 2015.png, 2015.png","../data/children/stimuli_G/2015.png, ../data/children/stimuli_I/2015.png, ../data/children/stimuli_R/2015.png",0.0,0.0
2016,children,4.0,"2016.png, 2016.png, 2016.png","../data/children/stimuli_G/2016.png, ../data/children/stimuli_I/2016.png, ../data/children/stimuli_R/2016.png",0.0,0.0
2017,children,4.0,"2017.png, 2017.png, 2017.png","../data/children/stimuli_G/2017.png, ../data/children/stimuli_I/2017.png, ../data/children/stimuli_R/2017.png",0.0,2.0
2018,children,5.0,"2018.png, 2018.png, 2018.png","../data/children/stimuli_G/2018.png, ../data/children/stimuli_I/2018.png, ../data/children/stimuli_R/2018.png",0.0,0.0
3001,children,4.0,"3001.png, 3001.png, 3001.png","../data/children/stimuli_G/3001.png, ../data/children/stimuli_I/3001.png, ../data/children/stimuli_R/3001.png",0.0,0.0
3002,children,6.0,"3002.png, 3002.png, 3002.png","../data/children/stimuli_G/3002.png, ../data/children/stimuli_I/3002.png, ../data/children/stimuli_R/3002.png",1.0,1.0
3005,children,6.0,"3005.png, 3005.png, 3005.png","../data/children/stimuli_G/3005.png, ../data/children/stimuli_I/3005.png, ../data/children/stimuli_R/3005.png",2.0,2.0
3007,children,4.0,"3007.png, 3007.png, 3007.png","../data/children/stimuli_G/3007.png, ../data/children/stimuli_I/3007.png, ../data/children/stimuli_R/3007.png",1.0,1.0
3008,children,6.0,"3008.png, 3008.png, 3008.png","../data/children/stimuli_G/3008.png, ../data/children/stimuli_I/3008.png, ../data/children/stimuli_R/3008.png",2.0,2.0
3009,children,6.0,"3009.png, 3009.png, 3009.png","../data/children/stimuli_G/3009.png, ../data/children/stimuli_I/3009.png, ../data/children/stimuli_R/3009.png",2.0,2.0
3010,children,4.0,"3010.png, 3010.png, 3010.png","../data/children/stimuli_G/3010.png, ../data/children/stimuli_I/3010.png, ../data/children/stimuli_R/3010.png",1.0,1.0
3011,children,5.0,"3011.png, 3011.png, 3011.png","../data/children/stimuli_G/3011.png, ../data/children/stimuli_I/3011.png, ../data/children/stimuli_R/3011.png",2.0,2.0
3013,children,5.0,"3013.png, 3013.png, 3013.png","../data/children/stimuli_G/3013.png, ../data/children/stimuli_I/3013.png, ../data/children/stimuli_R/3013.png",0.0,0.0
3016,children,4.0,"3016.png, 3016.png, 3016.png","../data/children/stimuli_G/3016.png, ../data/children/stimuli_I/3016.png, ../data/children/stimuli_R/3016.png",0.0,0.0
3017,children,4.0,"3017.png, 3017.png, 3017.png","../data/children/stimuli_G/3017.png, ../data/children/stimuli_I/3017.png, ../data/children/stimuli_R/3017.png",0.0,0.0
3018,children,5.0,"3018.png, 3018.png, 3018.png","../data/children/stimuli_G/3018.png, ../data/children/stimuli_I/3018.png, ../data/children/stimuli_R/3018.png",2.0,2.0
