creator,stimuli,image,filepath,originality_ocs,percentile_ocs
AI_prompt1,I,Dalle01.png,../data/AI/prompt_1/stimuli_I/Dalle01.png,0.62,78.0
AI_prompt1,I,Dalle02.png,../data/AI/prompt_1/stimuli_I/Dalle02.png,0.48,41.0
AI_prompt1,I,Dalle03.png,../data/AI/prompt_1/stimuli_I/Dalle03.png,0.65,83.0
AI_prompt1,I,Dalle04.png,../data/AI/prompt_1/stimuli_I/Dalle04.png,0.51,50.0
AI_prompt1,I,Dalle05.png,../data/AI/prompt_1/stimuli_I/Dalle05.png,0.57,65.0
AI_prompt1,I,Dalle06.png,../data/AI/prompt_1/stimuli_I/Dalle06.png,0.71,92.0
AI_prompt1,I,Dalle07.png,../data/AI/prompt_1/stimuli_I/Dalle07.png,0.72,93.0
AI_prompt1,I,Dalle08.png,../data/AI/prompt_1/stimuli_I/Dalle08.png,0.69,90.0
AI_prompt1,I,Dalle09.png,../data/AI/prompt_1/stimuli_I/Dalle09.png,0.65,84.0
AI_prompt1,I,Dalle10.png,../data/AI/prompt_1/stimuli_I/Dalle10.png,0.74,94.0
AI_prompt1,I,Dalle11.png,../data/AI/prompt_1/stimuli_I/Dalle11.png,0.6,73.0
AI_prompt1,I,Dalle12.png,../data/AI/prompt_1/stimuli_I/Dalle12.png,0.81,98.0
AI_prompt1,I,Dalle13.png,../data/AI/prompt_1/stimuli_I/Dalle13.png,0.71,92.0
AI_prompt1,I,Dalle14.png,../data/AI/prompt_1/stimuli_I/Dalle14.png,0.56,64.0
AI_prompt1,I,Dalle15.png,../data/AI/prompt_1/stimuli_I/Dalle15.png,0.62,76.0
AI_prompt1,I,Dalle16.png,../data/AI/prompt_1/stimuli_I/Dalle16.png,0.61,75.0
AI_prompt1,I,Dalle17.png,../data/AI/prompt_1/stimuli_I/Dalle17.png,0.44,31.0
AI_prompt1,I,Dalle18.png,../data/AI/prompt_1/stimuli_I/Dalle18.png,0.59,71.0
AI_prompt1,I,Dalle19.png,../data/AI/prompt_1/stimuli_I/Dalle19.png,0.6,73.0
AI_prompt1,I,Dalle20.png,../data/AI/prompt_1/stimuli_I/Dalle20.png,0.76,96.0
AI_prompt1,I,Dalle21.png,../data/AI/prompt_1/stimuli_I/Dalle21.png,0.52,52.0
AI_prompt1,I,Dalle22.png,../data/AI/prompt_1/stimuli_I/Dalle22.png,0.54,57.0
AI_prompt1,I,Dalle23.png,../data/AI/prompt_1/stimuli_I/Dalle23.png,0.56,64.0
AI_prompt1,I,Dalle24.png,../data/AI/prompt_1/stimuli_I/Dalle24.png,0.37,16.0
AI_prompt1,I,Dalle25.png,../data/AI/prompt_1/stimuli_I/Dalle25.png,0.52,51.0
AI_prompt1,I,Dalle26.png,../data/AI/prompt_1/stimuli_I/Dalle26.png,0.37,15.0
AI_prompt1,I,Dalle27.png,../data/AI/prompt_1/stimuli_I/Dalle27.png,0.64,81.0
AI_prompt1,I,Dalle28.png,../data/AI/prompt_1/stimuli_I/Dalle28.png,0.35,11.0
AI_prompt1,I,Dalle29.png,../data/AI/prompt_1/stimuli_I/Dalle29.png,0.72,93.0
AI_prompt1,I,Dalle30.png,../data/AI/prompt_1/stimuli_I/Dalle30.png,0.73,94.0
AI_prompt1,I,Dalle31.png,../data/AI/prompt_1/stimuli_I/Dalle31.png,0.66,84.0
AI_prompt1,I,Dalle32.png,../data/AI/prompt_1/stimuli_I/Dalle32.png,0.56,63.0
AI_prompt1,I,Dalle33.png,../data/AI/prompt_1/stimuli_I/Dalle33.png,0.44,33.0
AI_prompt1,I,Dalle34.png,../data/AI/prompt_1/stimuli_I/Dalle34.png,0.7,91.0
AI_prompt1,I,Dalle35.png,../data/AI/prompt_1/stimuli_I/Dalle35.png,0.63,79.0
AI_prompt1,I,Dalle36.png,../data/AI/prompt_1/stimuli_I/Dalle36.png,0.6,72.0
AI_prompt1,I,Dalle37.png,../data/AI/prompt_1/stimuli_I/Dalle37.png,0.63,79.0
AI_prompt1,I,Dalle38.png,../data/AI/prompt_1/stimuli_I/Dalle38.png,0.51,50.0
AI_prompt1,I,Dalle39.png,../data/AI/prompt_1/stimuli_I/Dalle39.png,0.42,28.0
AI_prompt1,I,Dalle40.png,../data/AI/prompt_1/stimuli_I/Dalle40.png,0.57,65.0
AI_prompt1,I,Dalle41.png,../data/AI/prompt_1/stimuli_I/Dalle41.png,0.67,88.0
AI_prompt1,I,Dalle42.png,../data/AI/prompt_1/stimuli_I/Dalle42.png,0.57,65.0
AI_prompt1,I,Dalle43.png,../data/AI/prompt_1/stimuli_I/Dalle43.png,0.68,88.0
AI_prompt1,I,Dalle44.png,../data/AI/prompt_1/stimuli_I/Dalle44.png,0.63,79.0
AI_prompt1,I,Dalle45.png,../data/AI/prompt_1/stimuli_I/Dalle45.png,0.59,71.0
AI_prompt1,I,Dalle46.png,../data/AI/prompt_1/stimuli_I/Dalle46.png,0.53,54.0
AI_prompt1,I,Dalle47.png,../data/AI/prompt_1/stimuli_I/Dalle47.png,0.69,89.0
AI_prompt1,I,Dalle48.png,../data/AI/prompt_1/stimuli_I/Dalle48.png,0.57,66.0
AI_prompt1,I,Dalle49.png,../data/AI/prompt_1/stimuli_I/Dalle49.png,0.6,73.0
AI_prompt1,I,Dalle50.png,../data/AI/prompt_1/stimuli_I/Dalle50.png,0.68,88.0
