creator,stimuli,image,filepath,originality_ocs,percentile_ocs
AI_prompt1,R,Dalle01.png,../data/AI/prompt_1/stimuli_R/Dalle01.png,0.62,77.0
AI_prompt1,R,Dalle02.png,../data/AI/prompt_1/stimuli_R/Dalle02.png,0.6,73.0
AI_prompt1,R,Dalle03.png,../data/AI/prompt_1/stimuli_R/Dalle03.png,0.59,71.0
AI_prompt1,R,Dalle04.png,../data/AI/prompt_1/stimuli_R/Dalle04.png,0.66,86.0
AI_prompt1,R,Dalle05.png,../data/AI/prompt_1/stimuli_R/Dalle05.png,0.55,60.0
AI_prompt1,R,Dalle06.png,../data/AI/prompt_1/stimuli_R/Dalle06.png,0.56,64.0
AI_prompt1,R,Dalle07.png,../data/AI/prompt_1/stimuli_R/Dalle07.png,0.69,90.0
AI_prompt1,R,Dalle08.png,../data/AI/prompt_1/stimuli_R/Dalle08.png,0.52,53.0
AI_prompt1,R,Dalle09.png,../data/AI/prompt_1/stimuli_R/Dalle09.png,0.7,91.0
AI_prompt1,R,Dalle10.png,../data/AI/prompt_1/stimuli_R/Dalle10.png,0.56,64.0
AI_prompt1,R,Dalle11.png,../data/AI/prompt_1/stimuli_R/Dalle11.png,0.48,41.0
AI_prompt1,R,Dalle12.png,../data/AI/prompt_1/stimuli_R/Dalle12.png,0.62,77.0
AI_prompt1,R,Dalle13.png,../data/AI/prompt_1/stimuli_R/Dalle13.png,0.49,43.0
AI_prompt1,R,Dalle14.png,../data/AI/prompt_1/stimuli_R/Dalle14.png,0.57,65.0
AI_prompt1,R,Dalle15.png,../data/AI/prompt_1/stimuli_R/Dalle15.png,0.47,39.0
AI_prompt1,R,Dalle16.png,../data/AI/prompt_1/stimuli_R/Dalle16.png,0.58,69.0
AI_prompt1,R,Dalle17.png,../data/AI/prompt_1/stimuli_R/Dalle17.png,0.57,65.0
AI_prompt1,R,Dalle18.png,../data/AI/prompt_1/stimuli_R/Dalle18.png,0.42,27.0
AI_prompt1,R,Dalle19.png,../data/AI/prompt_1/stimuli_R/Dalle19.png,0.48,42.0
AI_prompt1,R,Dalle20.png,../data/AI/prompt_1/stimuli_R/Dalle20.png,0.4,23.0
AI_prompt1,R,Dalle21.png,../data/AI/prompt_1/stimuli_R/Dalle21.png,0.88,99.0
AI_prompt1,R,Dalle22.png,../data/AI/prompt_1/stimuli_R/Dalle22.png,0.58,68.0
AI_prompt1,R,Dalle23.png,../data/AI/prompt_1/stimuli_R/Dalle23.png,0.61,75.0
AI_prompt1,R,Dalle24.png,../data/AI/prompt_1/stimuli_R/Dalle24.png,0.71,93.0
AI_prompt1,R,Dalle25.png,../data/AI/prompt_1/stimuli_R/Dalle25.png,0.54,57.0
AI_prompt1,R,Dalle26.png,../data/AI/prompt_1/stimuli_R/Dalle26.png,0.46,37.0
AI_prompt1,R,Dalle27.png,../data/AI/prompt_1/stimuli_R/Dalle27.png,0.52,52.0
AI_prompt1,R,Dalle28.png,../data/AI/prompt_1/stimuli_R/Dalle28.png,0.41,26.0
AI_prompt1,R,Dalle29.png,../data/AI/prompt_1/stimuli_R/Dalle29.png,0.74,95.0
AI_prompt1,R,Dalle30.png,../data/AI/prompt_1/stimuli_R/Dalle30.png,0.57,65.0
AI_prompt1,R,Dalle31.png,../data/AI/prompt_1/stimuli_R/Dalle31.png,0.7,91.0
AI_prompt1,R,Dalle32.png,../data/AI/prompt_1/stimuli_R/Dalle32.png,0.55,61.0
AI_prompt1,R,Dalle33.png,../data/AI/prompt_1/stimuli_R/Dalle33.png,0.55,59.0
AI_prompt1,R,Dalle34.png,../data/AI/prompt_1/stimuli_R/Dalle34.png,0.63,80.0
AI_prompt1,R,Dalle35.png,../data/AI/prompt_1/stimuli_R/Dalle35.png,0.59,70.0
AI_prompt1,R,Dalle36.png,../data/AI/prompt_1/stimuli_R/Dalle36.png,0.5,48.0
AI_prompt1,R,Dalle37.png,../data/AI/prompt_1/stimuli_R/Dalle37.png,0.43,29.0
AI_prompt1,R,Dalle38.png,../data/AI/prompt_1/stimuli_R/Dalle38.png,0.53,54.0
AI_prompt1,R,Dalle39.png,../data/AI/prompt_1/stimuli_R/Dalle39.png,0.73,94.0
AI_prompt1,R,Dalle40.png,../data/AI/prompt_1/stimuli_R/Dalle40.png,0.39,21.0
AI_prompt1,R,Dalle41.png,../data/AI/prompt_1/stimuli_R/Dalle41.png,0.5,47.0
AI_prompt1,R,Dalle42.png,../data/AI/prompt_1/stimuli_R/Dalle42.png,0.42,28.0
AI_prompt1,R,Dalle43.png,../data/AI/prompt_1/stimuli_R/Dalle43.png,0.47,38.0
AI_prompt1,R,Dalle44.png,../data/AI/prompt_1/stimuli_R/Dalle44.png,0.57,65.0
AI_prompt1,R,Dalle45.png,../data/AI/prompt_1/stimuli_R/Dalle45.png,0.67,87.0
AI_prompt1,R,Dalle46.png,../data/AI/prompt_1/stimuli_R/Dalle46.png,0.79,97.0
AI_prompt1,R,Dalle47.png,../data/AI/prompt_1/stimuli_R/Dalle47.png,0.47,39.0
AI_prompt1,R,Dalle48.png,../data/AI/prompt_1/stimuli_R/Dalle48.png,0.68,89.0
AI_prompt1,R,Dalle49.png,../data/AI/prompt_1/stimuli_R/Dalle49.png,0.6,72.0
AI_prompt1,R,Dalle50.png,../data/AI/prompt_1/stimuli_R/Dalle50.png,0.51,49.0
