creator,stimuli,image,filepath,originality_ocs,percentile_ocs
AI_prompt3,G,Dalle01.png,../data/AI/prompt_3/stimuli_G/Dalle01.png,0.63,81.0
AI_prompt3,G,Dalle02.png,../data/AI/prompt_3/stimuli_G/Dalle02.png,0.76,96.0
AI_prompt3,G,Dalle03.png,../data/AI/prompt_3/stimuli_G/Dalle03.png,0.85,99.0
AI_prompt3,G,Dalle04.png,../data/AI/prompt_3/stimuli_G/Dalle04.png,0.78,97.0
AI_prompt3,G,Dalle05.png,../data/AI/prompt_3/stimuli_G/Dalle05.png,0.74,95.0
AI_prompt3,G,Dalle06.png,../data/AI/prompt_3/stimuli_G/Dalle06.png,0.73,94.0
AI_prompt3,G,Dalle07.png,../data/AI/prompt_3/stimuli_G/Dalle07.png,0.69,89.0
AI_prompt3,G,Dalle08.png,../data/AI/prompt_3/stimuli_G/Dalle08.png,0.58,68.0
AI_prompt3,G,Dalle09.png,../data/AI/prompt_3/stimuli_G/Dalle09.png,0.65,83.0
AI_prompt3,G,Dalle10.png,../data/AI/prompt_3/stimuli_G/Dalle10.png,0.61,74.0
AI_prompt3,G,Dalle11.png,../data/AI/prompt_3/stimuli_G/Dalle11.png,0.77,96.0
AI_prompt3,G,Dalle12.png,../data/AI/prompt_3/stimuli_G/Dalle12.png,0.71,92.0
AI_prompt3,G,Dalle13.png,../data/AI/prompt_3/stimuli_G/Dalle13.png,0.72,93.0
AI_prompt3,G,Dalle14.png,../data/AI/prompt_3/stimuli_G/Dalle14.png,0.67,87.0
AI_prompt3,G,Dalle15.png,../data/AI/prompt_3/stimuli_G/Dalle15.png,0.67,86.0
AI_prompt3,G,Dalle16.png,../data/AI/prompt_3/stimuli_G/Dalle16.png,0.88,99.0
AI_prompt3,G,Dalle17.png,../data/AI/prompt_3/stimuli_G/Dalle17.png,0.65,83.0
AI_prompt3,G,Dalle18.png,../data/AI/prompt_3/stimuli_G/Dalle18.png,0.93,99.0
AI_prompt3,G,Dalle19.png,../data/AI/prompt_3/stimuli_G/Dalle19.png,0.55,60.0
AI_prompt3,G,Dalle20.png,../data/AI/prompt_3/stimuli_G/Dalle20.png,0.71,92.0
AI_prompt3,G,Dalle21.png,../data/AI/prompt_3/stimuli_G/Dalle21.png,0.69,90.0
AI_prompt3,G,Dalle22.png,../data/AI/prompt_3/stimuli_G/Dalle22.png,0.74,95.0
AI_prompt3,G,Dalle23.png,../data/AI/prompt_3/stimuli_G/Dalle23.png,0.83,98.0
AI_prompt3,G,Dalle24.png,../data/AI/prompt_3/stimuli_G/Dalle24.png,0.66,85.0
AI_prompt3,G,Dalle25.png,../data/AI/prompt_3/stimuli_G/Dalle25.png,0.66,86.0
AI_prompt3,G,Dalle26.png,../data/AI/prompt_3/stimuli_G/Dalle26.png,0.75,95.0
AI_prompt3,G,Dalle27.png,../data/AI/prompt_3/stimuli_G/Dalle27.png,0.7,91.0
AI_prompt3,G,Dalle28.png,../data/AI/prompt_3/stimuli_G/Dalle28.png,0.94,99.0
AI_prompt3,G,Dalle29.png,../data/AI/prompt_3/stimuli_G/Dalle29.png,0.66,84.0
AI_prompt3,G,Dalle30.png,../data/AI/prompt_3/stimuli_G/Dalle30.png,0.66,85.0
AI_prompt3,G,Dalle31.png,../data/AI/prompt_3/stimuli_G/Dalle31.png,0.78,97.0
AI_prompt3,G,Dalle32.png,../data/AI/prompt_3/stimuli_G/Dalle32.png,0.67,87.0
AI_prompt3,G,Dalle33.png,../data/AI/prompt_3/stimuli_G/Dalle33.png,0.8,98.0
AI_prompt3,G,Dalle34.png,../data/AI/prompt_3/stimuli_G/Dalle34.png,0.76,96.0
AI_prompt3,G,Dalle35.png,../data/AI/prompt_3/stimuli_G/Dalle35.png,0.88,99.0
AI_prompt3,G,Dalle36.png,../data/AI/prompt_3/stimuli_G/Dalle36.png,0.81,98.0
AI_prompt3,G,Dalle37.png,../data/AI/prompt_3/stimuli_G/Dalle37.png,0.84,98.0
AI_prompt3,G,Dalle38.png,../data/AI/prompt_3/stimuli_G/Dalle38.png,0.7,91.0
AI_prompt3,G,Dalle39.png,../data/AI/prompt_3/stimuli_G/Dalle39.png,0.68,89.0
AI_prompt3,G,Dalle40.png,../data/AI/prompt_3/stimuli_G/Dalle40.png,0.82,98.0
AI_prompt3,G,Dalle41.png,../data/AI/prompt_3/stimuli_G/Dalle41.png,0.76,96.0
AI_prompt3,G,Dalle42.png,../data/AI/prompt_3/stimuli_G/Dalle42.png,0.71,92.0
AI_prompt3,G,Dalle43.png,../data/AI/prompt_3/stimuli_G/Dalle43.png,0.62,77.0
AI_prompt3,G,Dalle44.png,../data/AI/prompt_3/stimuli_G/Dalle44.png,0.68,89.0
AI_prompt3,G,Dalle45.png,../data/AI/prompt_3/stimuli_G/Dalle45.png,0.87,99.0
AI_prompt3,G,Dalle46.png,../data/AI/prompt_3/stimuli_G/Dalle46.png,0.73,94.0
AI_prompt3,G,Dalle47.png,../data/AI/prompt_3/stimuli_G/Dalle47.png,0.81,98.0
AI_prompt3,G,Dalle48.png,../data/AI/prompt_3/stimuli_G/Dalle48.png,0.75,96.0
AI_prompt3,G,Dalle49.png,../data/AI/prompt_3/stimuli_G/Dalle49.png,0.71,92.0
AI_prompt3,G,Dalle50.png,../data/AI/prompt_3/stimuli_G/Dalle50.png,0.66,85.0
