creator,stimuli,image,filepath,originality_ocs,percentile_ocs
adults,G,103__3832_9.jpg,../data/adults/stimuli_G/103__3832_9.jpg,0.52,51.0
adults,G,110__3846_9.jpg,../data/adults/stimuli_G/110__3846_9.jpg,0.39,21.0
adults,G,113__3868_9.jpg,../data/adults/stimuli_G/113__3868_9.jpg,0.36,14.0
adults,G,138__5325_9.jpg,../data/adults/stimuli_G/138__5325_9.jpg,0.52,52.0
adults,G,140__3910_9.jpg,../data/adults/stimuli_G/140__3910_9.jpg,0.62,77.0
adults,G,157__3922_9.jpg,../data/adults/stimuli_G/157__3922_9.jpg,0.25,0.0
adults,G,1621__1233_9.jpg,../data/adults/stimuli_G/1621__1233_9.jpg,0.75,96.0
adults,G,1622__7239_9.jpg,../data/adults/stimuli_G/1622__7239_9.jpg,0.54,57.0
adults,G,1626__1256_9.jpg,../data/adults/stimuli_G/1626__1256_9.jpg,0.73,94.0
adults,G,1663__1266_9.jpg,../data/adults/stimuli_G/1663__1266_9.jpg,0.6,73.0
adults,G,1664__1276_9.jpg,../data/adults/stimuli_G/1664__1276_9.jpg,0.61,75.0
adults,G,1665__1286_9.jpg,../data/adults/stimuli_G/1665__1286_9.jpg,0.62,78.0
adults,G,1666__1295_9.jpg,../data/adults/stimuli_G/1666__1295_9.jpg,0.37,15.0
adults,G,1667__1307_9.jpg,../data/adults/stimuli_G/1667__1307_9.jpg,0.6,72.0
adults,G,1675__9725_9.jpg,../data/adults/stimuli_G/1675__9725_9.jpg,0.74,95.0
adults,G,1676__9737_9.jpg,../data/adults/stimuli_G/1676__9737_9.jpg,0.32,5.0
adults,G,16__3473_9.jpg,../data/adults/stimuli_G/16__3473_9.jpg,0.68,88.0
adults,G,1740__1329_9.jpg,../data/adults/stimuli_G/1740__1329_9.jpg,0.27,1.0
adults,G,1741__368_9.jpg,../data/adults/stimuli_G/1741__368_9.jpg,0.53,54.0
adults,G,1743__1355_9.jpg,../data/adults/stimuli_G/1743__1355_9.jpg,0.63,79.0
adults,G,1744__1365_9.jpg,../data/adults/stimuli_G/1744__1365_9.jpg,0.4,23.0
adults,G,1748__1375_9.jpg,../data/adults/stimuli_G/1748__1375_9.jpg,0.32,4.0
adults,G,1749__1381_9.jpg,../data/adults/stimuli_G/1749__1381_9.jpg,0.47,39.0
adults,G,174__3967_9.jpg,../data/adults/stimuli_G/174__3967_9.jpg,0.68,88.0
adults,G,1750__385_9.jpg,../data/adults/stimuli_G/1750__385_9.jpg,0.47,39.0
adults,G,1751__1400_9.jpg,../data/adults/stimuli_G/1751__1400_9.jpg,0.28,1.0
adults,G,1753__1411_9.jpg,../data/adults/stimuli_G/1753__1411_9.jpg,0.54,58.0
adults,G,1755__1420_9.jpg,../data/adults/stimuli_G/1755__1420_9.jpg,0.58,68.0
adults,G,180__4001_9.jpg,../data/adults/stimuli_G/180__4001_9.jpg,0.54,57.0
adults,G,181__5394_9.jpg,../data/adults/stimuli_G/181__5394_9.jpg,0.48,40.0
adults,G,182__5406_9.jpg,../data/adults/stimuli_G/182__5406_9.jpg,0.45,35.0
adults,G,183__5418_9.jpg,../data/adults/stimuli_G/183__5418_9.jpg,0.3,2.0
adults,G,197__5470_9.jpg,../data/adults/stimuli_G/197__5470_9.jpg,0.47,39.0
adults,G,203__4073_9.jpg,../data/adults/stimuli_G/203__4073_9.jpg,0.57,64.0
adults,G,21__3508_9.jpg,../data/adults/stimuli_G/21__3508_9.jpg,0.31,3.0
adults,G,223__4143_9.jpg,../data/adults/stimuli_G/223__4143_9.jpg,0.63,79.0
