creator,stimuli,image,filepath,originality_ocs,percentile_ocs
adults,I,103__3833_11.jpg,../data/adults/stimuli_I/103__3833_11.jpg,0.64,83.0
adults,I,110__3847_11.jpg,../data/adults/stimuli_I/110__3847_11.jpg,0.67,87.0
adults,I,113__3869_11.jpg,../data/adults/stimuli_I/113__3869_11.jpg,0.46,37.0
adults,I,138__5326_11.jpg,../data/adults/stimuli_I/138__5326_11.jpg,0.61,76.0
adults,I,140__3911_11.jpg,../data/adults/stimuli_I/140__3911_11.jpg,0.56,64.0
adults,I,157__3923_11.jpg,../data/adults/stimuli_I/157__3923_11.jpg,0.32,5.0
adults,I,1621__1234_11.jpg,../data/adults/stimuli_I/1621__1234_11.jpg,0.63,80.0
adults,I,1622__7240_11.jpg,../data/adults/stimuli_I/1622__7240_11.jpg,0.4,23.0
adults,I,1626__1257_11.jpg,../data/adults/stimuli_I/1626__1257_11.jpg,0.8,98.0
adults,I,1663__1267_11.jpg,../data/adults/stimuli_I/1663__1267_11.jpg,0.33,6.0
adults,I,1664__1277_11.jpg,../data/adults/stimuli_I/1664__1277_11.jpg,0.49,44.0
adults,I,1665__362_11.jpg,../data/adults/stimuli_I/1665__362_11.jpg,0.46,37.0
adults,I,1666__1296_11.jpg,../data/adults/stimuli_I/1666__1296_11.jpg,0.57,65.0
adults,I,1667__1308_11.jpg,../data/adults/stimuli_I/1667__1308_11.jpg,0.71,92.0
adults,I,1675__9726_11.jpg,../data/adults/stimuli_I/1675__9726_11.jpg,0.58,67.0
adults,I,1676__9738_11.jpg,../data/adults/stimuli_I/1676__9738_11.jpg,0.57,65.0
adults,I,16__3474_11.jpg,../data/adults/stimuli_I/16__3474_11.jpg,0.5,47.0
adults,I,1740__1330_11.jpg,../data/adults/stimuli_I/1740__1330_11.jpg,0.38,19.0
adults,I,1741__1338_11.jpg,../data/adults/stimuli_I/1741__1338_11.jpg,0.54,56.0
adults,I,1743__1356_11.jpg,../data/adults/stimuli_I/1743__1356_11.jpg,0.27,1.0
adults,I,1744__1366_11.jpg,../data/adults/stimuli_I/1744__1366_11.jpg,0.48,40.0
adults,I,1748__1376_11.jpg,../data/adults/stimuli_I/1748__1376_11.jpg,0.46,37.0
adults,I,1749__381_11.jpg,../data/adults/stimuli_I/1749__381_11.jpg,0.63,81.0
adults,I,174__3968_11.jpg,../data/adults/stimuli_I/174__3968_11.jpg,0.76,96.0
adults,I,1750__1389_11.jpg,../data/adults/stimuli_I/1750__1389_11.jpg,0.41,26.0
adults,I,1751__1401_11.jpg,../data/adults/stimuli_I/1751__1401_11.jpg,0.59,70.0
adults,I,1753__1412_11.jpg,../data/adults/stimuli_I/1753__1412_11.jpg,0.79,97.0
adults,I,1755__1421_11.jpg,../data/adults/stimuli_I/1755__1421_11.jpg,0.71,92.0
adults,I,180__4002_11.jpg,../data/adults/stimuli_I/180__4002_11.jpg,0.54,56.0
adults,I,181__5395_11.jpg,../data/adults/stimuli_I/181__5395_11.jpg,0.56,63.0
adults,I,182__5407_11.jpg,../data/adults/stimuli_I/182__5407_11.jpg,0.52,51.0
adults,I,183__5419_11.jpg,../data/adults/stimuli_I/183__5419_11.jpg,0.49,46.0
adults,I,197__5471_11.jpg,../data/adults/stimuli_I/197__5471_11.jpg,0.44,32.0
adults,I,203__4074_11.jpg,../data/adults/stimuli_I/203__4074_11.jpg,0.45,33.0
adults,I,21__3509_11.jpg,../data/adults/stimuli_I/21__3509_11.jpg,0.45,33.0
adults,I,223__4144_11.jpg,../data/adults/stimuli_I/223__4144_11.jpg,0.52,51.0
adults,I,242__4168_11.jpg,../data/adults/stimuli_I/242__4168_11.jpg,0.44,31.0
adults,I,247__4180_11.jpg,../data/adults/stimuli_I/247__4180_11.jpg,0.66,85.0
adults,I,259__4204_11.jpg,../data/adults/stimuli_I/259__4204_11.jpg,0.33,6.0
adults,I,263__7334_11.jpg,../data/adults/stimuli_I/263__7334_11.jpg,0.59,70.0
adults,I,265__5605_11.jpg,../data/adults/stimuli_I/265__5605_11.jpg,0.64,82.0
adults,I,269__4250_11.jpg,../data/adults/stimuli_I/269__4250_11.jpg,0.71,92.0
adults,I,26__3554_11.jpg,../data/adults/stimuli_I/26__3554_11.jpg,0.47,38.0
adults,I,275__4261_11.jpg,../data/adults/stimuli_I/275__4261_11.jpg,0.35,10.0
adults,I,27__5150_11.jpg,../data/adults/stimuli_I/27__5150_11.jpg,0.47,39.0
adults,I,285__4285_11.jpg,../data/adults/stimuli_I/285__4285_11.jpg,0.76,96.0
adults,I,287__5662_11.jpg,../data/adults/stimuli_I/287__5662_11.jpg,0.54,58.0
adults,I,298__4325_11.jpg,../data/adults/stimuli_I/298__4325_11.jpg,0.61,75.0
adults,I,301__5704_11.jpg,../data/adults/stimuli_I/301__5704_11.jpg,0.56,63.0
adults,I,302__4348_11.jpg,../data/adults/stimuli_I/302__4348_11.jpg,0.4,24.0
adults,I,315__5728_11.jpg,../data/adults/stimuli_I/315__5728_11.jpg,0.63,79.0
adults,I,324__5745_11.jpg,../data/adults/stimuli_I/324__5745_11.jpg,0.28,1.0
adults,I,32__3578_11.jpg,../data/adults/stimuli_I/32__3578_11.jpg,0.43,30.0
adults,I,340__5786_11.jpg,../data/adults/stimuli_I/340__5786_11.jpg,0.25,0.0
adults,I,346__5810_11.jpg,../data/adults/stimuli_I/346__5810_11.jpg,0.42,27.0
adults,I,356__5843_11.jpg,../data/adults/stimuli_I/356__5843_11.jpg,0.51,49.0
adults,I,375__5946_11.jpg,../data/adults/stimuli_I/375__5946_11.jpg,0.5,47.0
adults,I,392__6013_11.jpg,../data/adults/stimuli_I/392__6013_11.jpg,0.55,61.0
adults,I,415__7554_11.jpg,../data/adults/stimuli_I/415__7554_11.jpg,0.39,20.0
adults,I,427__6117_11.jpg,../data/adults/stimuli_I/427__6117_11.jpg,0.6,73.0
adults,I,434__7587_11.jpg,../data/adults/stimuli_I/434__7587_11.jpg,0.61,75.0
adults,I,445__7632_11.jpg,../data/adults/stimuli_I/445__7632_11.jpg,0.49,45.0
adults,I,44__3662_11.jpg,../data/adults/stimuli_I/44__3662_11.jpg,0.67,87.0
adults,I,453__7714_11.jpg,../data/adults/stimuli_I/453__7714_11.jpg,0.64,81.0
adults,I,454__7726_11.jpg,../data/adults/stimuli_I/454__7726_11.jpg,0.65,84.0
adults,I,456__7750_11.jpg,../data/adults/stimuli_I/456__7750_11.jpg,0.49,46.0
adults,I,458__7774_11.jpg,../data/adults/stimuli_I/458__7774_11.jpg,0.63,80.0
adults,I,464__7833_11.jpg,../data/adults/stimuli_I/464__7833_11.jpg,0.61,75.0
adults,I,466__7857_11.jpg,../data/adults/stimuli_I/466__7857_11.jpg,0.62,77.0
adults,I,46__3685_11.jpg,../data/adults/stimuli_I/46__3685_11.jpg,0.26,0.0
adults,I,481__7948_11.jpg,../data/adults/stimuli_I/481__7948_11.jpg,0.74,95.0
adults,I,482__7960_11.jpg,../data/adults/stimuli_I/482__7960_11.jpg,0.52,53.0
adults,I,484__7984_11.jpg,../data/adults/stimuli_I/484__7984_11.jpg,0.47,38.0
adults,I,485__7996_11.jpg,../data/adults/stimuli_I/485__7996_11.jpg,0.41,26.0
adults,I,486__8007_11.jpg,../data/adults/stimuli_I/486__8007_11.jpg,0.54,58.0
adults,I,487__8019_11.jpg,../data/adults/stimuli_I/487__8019_11.jpg,0.4,22.0
adults,I,489__8040_11.jpg,../data/adults/stimuli_I/489__8040_11.jpg,0.68,88.0
adults,I,492__8052_11.jpg,../data/adults/stimuli_I/492__8052_11.jpg,0.24,0.0
adults,I,496__8094_11.jpg,../data/adults/stimuli_I/496__8094_11.jpg,0.45,34.0
adults,I,498__8106_11.jpg,../data/adults/stimuli_I/498__8106_11.jpg,0.44,33.0
adults,I,502__8130_11.jpg,../data/adults/stimuli_I/502__8130_11.jpg,0.5,48.0
adults,I,511__8151_11.jpg,../data/adults/stimuli_I/511__8151_11.jpg,0.45,35.0
adults,I,513__8162_11.jpg,../data/adults/stimuli_I/513__8162_11.jpg,0.41,26.0
adults,I,517__8198_11.jpg,../data/adults/stimuli_I/517__8198_11.jpg,0.53,54.0
adults,I,520__8221_11.jpg,../data/adults/stimuli_I/520__8221_11.jpg,0.44,31.0
adults,I,521__8233_11.jpg,../data/adults/stimuli_I/521__8233_11.jpg,0.78,97.0
adults,I,522__8245_11.jpg,../data/adults/stimuli_I/522__8245_11.jpg,0.3,2.0
adults,I,524__8257_11.jpg,../data/adults/stimuli_I/524__8257_11.jpg,0.55,59.0
