creator,stimuli,image,filepath,originality_ocs,percentile_ocs
adults,R,103__3839_56.jpg,../data/adults/stimuli_R/103__3839_56.jpg,0.56,64.0
adults,R,110__3853_56.jpg,../data/adults/stimuli_R/110__3853_56.jpg,0.55,59.0
adults,R,113__3875_56.jpg,../data/adults/stimuli_R/113__3875_56.jpg,0.28,1.0
adults,R,138__5332_56.jpg,../data/adults/stimuli_R/138__5332_56.jpg,0.44,31.0
adults,R,140__3917_56.jpg,../data/adults/stimuli_R/140__3917_56.jpg,0.53,56.0
adults,R,157__3929_56.jpg,../data/adults/stimuli_R/157__3929_56.jpg,0.36,14.0
adults,R,1621__1240_56.jpg,../data/adults/stimuli_R/1621__1240_56.jpg,0.68,88.0
adults,R,1622__7246_56.jpg,../data/adults/stimuli_R/1622__7246_56.jpg,0.48,41.0
adults,R,1626__1261_56.jpg,../data/adults/stimuli_R/1626__1261_56.jpg,0.77,97.0
adults,R,1663__1271_56.jpg,../data/adults/stimuli_R/1663__1271_56.jpg,0.59,71.0
adults,R,1664__1281_56.jpg,../data/adults/stimuli_R/1664__1281_56.jpg,0.61,74.0
adults,R,1665__1291_56.jpg,../data/adults/stimuli_R/1665__1291_56.jpg,0.48,42.0
adults,R,1666__1302_56.jpg,../data/adults/stimuli_R/1666__1302_56.jpg,0.53,55.0
adults,R,1667__364_56.jpg,../data/adults/stimuli_R/1667__364_56.jpg,0.63,80.0
adults,R,1675__9732_56.jpg,../data/adults/stimuli_R/1675__9732_56.jpg,0.54,56.0
adults,R,1676__9744_56.jpg,../data/adults/stimuli_R/1676__9744_56.jpg,0.47,38.0
adults,R,16__3479_56.jpg,../data/adults/stimuli_R/16__3479_56.jpg,0.39,20.0
adults,R,1740__1335_56.jpg,../data/adults/stimuli_R/1740__1335_56.jpg,0.5,47.0
adults,R,1741__1343_56.jpg,../data/adults/stimuli_R/1741__1343_56.jpg,0.59,71.0
adults,R,1743__1361_56.jpg,../data/adults/stimuli_R/1743__1361_56.jpg,0.61,75.0
adults,R,1744__1371_56.jpg,../data/adults/stimuli_R/1744__1371_56.jpg,0.24,0.0
adults,R,1748__1379_56.jpg,../data/adults/stimuli_R/1748__1379_56.jpg,0.54,57.0
adults,R,1749__1385_56.jpg,../data/adults/stimuli_R/1749__1385_56.jpg,0.41,26.0
adults,R,174__3974_56.jpg,../data/adults/stimuli_R/174__3974_56.jpg,0.59,70.0
adults,R,1750__1395_56.jpg,../data/adults/stimuli_R/1750__1395_56.jpg,0.47,39.0
adults,R,1751__1407_56.jpg,../data/adults/stimuli_R/1751__1407_56.jpg,0.52,51.0
adults,R,1753__1415_56.jpg,../data/adults/stimuli_R/1753__1415_56.jpg,0.73,94.0
adults,R,1755__1426_56.jpg,../data/adults/stimuli_R/1755__1426_56.jpg,0.58,67.0
adults,R,180__4008_56.jpg,../data/adults/stimuli_R/180__4008_56.jpg,0.37,15.0
adults,R,181__5401_56.jpg,../data/adults/stimuli_R/181__5401_56.jpg,0.35,9.0
adults,R,182__5413_56.jpg,../data/adults/stimuli_R/182__5413_56.jpg,0.43,30.0
adults,R,183__5425_56.jpg,../data/adults/stimuli_R/183__5425_56.jpg,0.4,24.0
adults,R,197__5477_56.jpg,../data/adults/stimuli_R/197__5477_56.jpg,0.55,59.0
adults,R,203__4080_56.jpg,../data/adults/stimuli_R/203__4080_56.jpg,0.56,64.0
adults,R,21__3515_56.jpg,../data/adults/stimuli_R/21__3515_56.jpg,0.44,33.0
adults,R,223__4150_56.jpg,../data/adults/stimuli_R/223__4150_56.jpg,0.62,78.0
adults,R,242__4174_56.jpg,../data/adults/stimuli_R/242__4174_56.jpg,0.47,39.0
adults,R,247__4186_56.jpg,../data/adults/stimuli_R/247__4186_56.jpg,0.58,69.0
adults,R,259__4210_56.jpg,../data/adults/stimuli_R/259__4210_56.jpg,0.31,4.0
adults,R,263__7340_56.jpg,../data/adults/stimuli_R/263__7340_56.jpg,0.47,38.0
adults,R,265__4234_56.jpg,../data/adults/stimuli_R/265__4234_56.jpg,0.59,71.0
adults,R,269__4255_56.jpg,../data/adults/stimuli_R/269__4255_56.jpg,0.75,96.0
adults,R,26__3560_56.jpg,../data/adults/stimuli_R/26__3560_56.jpg,0.46,37.0
adults,R,275__4267_56.jpg,../data/adults/stimuli_R/275__4267_56.jpg,0.55,60.0
adults,R,27__3572_56.jpg,../data/adults/stimuli_R/27__3572_56.jpg,0.45,33.0
adults,R,285__4291_56.jpg,../data/adults/stimuli_R/285__4291_56.jpg,0.49,46.0
adults,R,287__5668_56.jpg,../data/adults/stimuli_R/287__5668_56.jpg,0.55,60.0
adults,R,298__4331_56.jpg,../data/adults/stimuli_R/298__4331_56.jpg,0.52,51.0
adults,R,301__4343_56.jpg,../data/adults/stimuli_R/301__4343_56.jpg,0.64,82.0
adults,R,302__4353_56.jpg,../data/adults/stimuli_R/302__4353_56.jpg,0.5,46.0
adults,R,315__5734_56.jpg,../data/adults/stimuli_R/315__5734_56.jpg,0.5,46.0
adults,R,324__5748_56.jpg,../data/adults/stimuli_R/324__5748_56.jpg,0.39,21.0
adults,R,32__3584_56.jpg,../data/adults/stimuli_R/32__3584_56.jpg,0.23,0.0
adults,R,340__5792_56.jpg,../data/adults/stimuli_R/340__5792_56.jpg,0.47,39.0
adults,R,346__5815_56.jpg,../data/adults/stimuli_R/346__5815_56.jpg,0.43,29.0
adults,R,356__5849_56.jpg,../data/adults/stimuli_R/356__5849_56.jpg,0.46,35.0
adults,R,375__5952_56.jpg,../data/adults/stimuli_R/375__5952_56.jpg,0.55,60.0
