creator,stimuli,image,filepath,originality_ocs,percentile_ocs
children,G,1001.png,../data/children/stimuli_G/1001.png,0.72,93.0
children,G,1002.png,../data/children/stimuli_G/1002.png,0.58,68.0
children,G,1003.png,../data/children/stimuli_G/1003.png,0.74,95.0
children,G,1004.png,../data/children/stimuli_G/1004.png,0.52,51.0
children,G,1005.png,../data/children/stimuli_G/1005.png,0.55,60.0
children,G,1006.png,../data/children/stimuli_G/1006.png,0.53,55.0
children,G,1007.png,../data/children/stimuli_G/1007.png,0.62,78.0
children,G,1008.png,../data/children/stimuli_G/1008.png,0.54,58.0
children,G,1009.png,../data/children/stimuli_G/1009.png,0.75,95.0
children,G,1010.png,../data/children/stimuli_G/1010.png,0.65,83.0
children,G,1011.png,../data/children/stimuli_G/1011.png,0.67,87.0
children,G,1012.png,../data/children/stimuli_G/1012.png,0.54,56.0
children,G,1013.png,../data/children/stimuli_G/1013.png,0.66,86.0
children,G,1014.png,../data/children/stimuli_G/1014.png,0.48,40.0
children,G,1015.png,../data/children/stimuli_G/1015.png,0.78,97.0
children,G,1016.png,../data/children/stimuli_G/1016.png,0.48,41.0
children,G,1017.png,../data/children/stimuli_G/1017.png,0.48,40.0
children,G,1018.png,../data/children/stimuli_G/1018.png,0.48,40.0
children,G,1019.png,../data/children/stimuli_G/1019.png,0.37,14.0
children,G,1020.png,../data/children/stimuli_G/1020.png,0.34,9.0
children,G,1022.png,../data/children/stimuli_G/1022.png,0.66,85.0
children,G,1023.png,../data/children/stimuli_G/1023.png,0.48,41.0
children,G,1024.png,../data/children/stimuli_G/1024.png,0.58,67.0
children,G,1025.png,../data/children/stimuli_G/1025.png,0.54,58.0
children,G,1026.png,../data/children/stimuli_G/1026.png,0.75,95.0
children,G,1027.png,../data/children/stimuli_G/1027.png,0.64,81.0
children,G,1028.png,../data/children/stimuli_G/1028.png,0.53,55.0
children,G,1029.png,../data/children/stimuli_G/1029.png,0.24,0.0
children,G,2001.png,../data/children/stimuli_G/2001.png,0.54,57.0
children,G,2002.png,../data/children/stimuli_G/2002.png,0.45,34.0
children,G,2003.png,../data/children/stimuli_G/2003.png,0.6,73.0
children,G,2004.png,../data/children/stimuli_G/2004.png,0.27,1.0
children,G,2009.png,../data/children/stimuli_G/2009.png,0.37,14.0
children,G,2010.png,../data/children/stimuli_G/2010.png,0.42,26.0
children,G,2011.png,../data/children/stimuli_G/2011.png,0.45,34.0
children,G,2012.png,../data/children/stimuli_G/2012.png,0.42,27.0
children,G,2013.png,../data/children/stimuli_G/2013.png,0.7,91.0
children,G,2014.png,../data/children/stimuli_G/2014.png,0.52,52.0
children,G,2015.png,../data/children/stimuli_G/2015.png,0.56,63.0
children,G,2016.png,../data/children/stimuli_G/2016.png,0.48,41.0
children,G,2017.png,../data/children/stimuli_G/2017.png,0.62,77.0
children,G,2018.png,../data/children/stimuli_G/2018.png,0.42,28.0
children,G,3001.png,../data/children/stimuli_G/3001.png,0.33,5.0
children,G,3002.png,../data/children/stimuli_G/3002.png,0.56,63.0
children,G,3005.png,../data/children/stimuli_G/3005.png,0.63,80.0
children,G,3007.png,../data/children/stimuli_G/3007.png,0.7,91.0
children,G,3008.png,../data/children/stimuli_G/3008.png,0.59,72.0
children,G,3009.png,../data/children/stimuli_G/3009.png,0.47,39.0
children,G,3010.png,../data/children/stimuli_G/3010.png,0.53,55.0
children,G,3011.png,../data/children/stimuli_G/3011.png,0.65,83.0
children,G,3013.png,../data/children/stimuli_G/3013.png,0.62,77.0
children,G,3016.png,../data/children/stimuli_G/3016.png,0.36,14.0
children,G,3017.png,../data/children/stimuli_G/3017.png,0.27,1.0
children,G,3018.png,../data/children/stimuli_G/3018.png,0.43,31.0
children,G,3020.png,../data/children/stimuli_G/3020.png,0.32,4.0
children,G,3022.png,../data/children/stimuli_G/3022.png,0.69,89.0
children,G,3023.png,../data/children/stimuli_G/3023.png,0.25,0.0
children,G,3024.png,../data/children/stimuli_G/3024.png,0.26,0.0
children,G,3025.png,../data/children/stimuli_G/3025.png,0.77,97.0
children,G,3026.png,../data/children/stimuli_G/3026.png,0.5,47.0
children,G,3028.png,../data/children/stimuli_G/3028.png,0.23,0.0
children,G,4001.png,../data/children/stimuli_G/4001.png,0.43,29.0
children,G,4002.png,../data/children/stimuli_G/4002.png,0.22,0.0
children,G,4003.png,../data/children/stimuli_G/4003.png,0.21,0.0
children,G,4004.png,../data/children/stimuli_G/4004.png,0.37,15.0
children,G,4005.png,../data/children/stimuli_G/4005.png,0.5,47.0
children,G,4006.png,../data/children/stimuli_G/4006.png,0.56,62.0
children,G,4007.png,../data/children/stimuli_G/4007.png,0.58,67.0
children,G,4008.png,../data/children/stimuli_G/4008.png,0.54,58.0
children,G,4009.png,../data/children/stimuli_G/4009.png,0.45,34.0
children,G,4010.png,../data/children/stimuli_G/4010.png,0.69,90.0
children,G,4011.png,../data/children/stimuli_G/4011.png,0.57,65.0
children,G,4012.png,../data/children/stimuli_G/4012.png,0.47,39.0
children,G,4013.png,../data/children/stimuli_G/4013.png,0.62,78.0
children,G,4014.png,../data/children/stimuli_G/4014.png,0.47,38.0
