creator,stimuli,image,filepath,originality_ocs,percentile_ocs
children,I,1001.png,../data/children/stimuli_I/1001.png,0.79,97.0
children,I,1002.png,../data/children/stimuli_I/1002.png,0.68,88.0
children,I,1003.png,../data/children/stimuli_I/1003.png,0.79,97.0
children,I,1004.png,../data/children/stimuli_I/1004.png,0.41,25.0
children,I,1005.png,../data/children/stimuli_I/1005.png,0.6,74.0
children,I,1006.png,../data/children/stimuli_I/1006.png,0.62,78.0
children,I,1007.png,../data/children/stimuli_I/1007.png,0.64,81.0
children,I,1008.png,../data/children/stimuli_I/1008.png,0.5,48.0
children,I,1009.png,../data/children/stimuli_I/1009.png,0.66,85.0
children,I,1010.png,../data/children/stimuli_I/1010.png,0.62,77.0
children,I,1011.png,../data/children/stimuli_I/1011.png,0.41,25.0
children,I,1012.png,../data/children/stimuli_I/1012.png,0.32,5.0
children,I,1013.png,../data/children/stimuli_I/1013.png,0.39,21.0
children,I,1014.png,../data/children/stimuli_I/1014.png,0.72,93.0
children,I,1015.png,../data/children/stimuli_I/1015.png,0.62,79.0
children,I,1016.png,../data/children/stimuli_I/1016.png,0.58,67.0
children,I,1017.png,../data/children/stimuli_I/1017.png,0.4,24.0
children,I,1018.png,../data/children/stimuli_I/1018.png,0.46,37.0
children,I,1019.png,../data/children/stimuli_I/1019.png,0.47,39.0
children,I,1020.png,../data/children/stimuli_I/1020.png,0.5,47.0
children,I,1022.png,../data/children/stimuli_I/1022.png,0.52,52.0
children,I,1023.png,../data/children/stimuli_I/1023.png,0.52,52.0
children,I,1024.png,../data/children/stimuli_I/1024.png,0.56,62.0
children,I,1025.png,../data/children/stimuli_I/1025.png,0.54,56.0
children,I,1026.png,../data/children/stimuli_I/1026.png,0.57,66.0
children,I,1027.png,../data/children/stimuli_I/1027.png,0.57,64.0
children,I,1028.png,../data/children/stimuli_I/1028.png,0.52,53.0
children,I,1029.png,../data/children/stimuli_I/1029.png,0.24,0.0
children,I,2001.png,../data/children/stimuli_I/2001.png,0.68,89.0
children,I,2002.png,../data/children/stimuli_I/2002.png,0.49,42.0
children,I,2003.png,../data/children/stimuli_I/2003.png,0.59,70.0
children,I,2004.png,../data/children/stimuli_I/2004.png,0.48,41.0
children,I,2009.png,../data/children/stimuli_I/2009.png,0.13,0.0
children,I,2010.png,../data/children/stimuli_I/2010.png,0.51,49.0
children,I,2011.png,../data/children/stimuli_I/2011.png,0.5,47.0
children,I,2012.png,../data/children/stimuli_I/2012.png,0.54,57.0
children,I,2013.png,../data/children/stimuli_I/2013.png,0.61,75.0
children,I,2014.png,../data/children/stimuli_I/2014.png,0.58,67.0
