creator,stimuli,image,filepath,originality_ocs,percentile_ocs
children,R,1001.png,../data/children/stimuli_R/1001.png,0.82,98.0
children,R,1002.png,../data/children/stimuli_R/1002.png,0.58,67.0
children,R,1003.png,../data/children/stimuli_R/1003.png,0.62,78.0
children,R,1004.png,../data/children/stimuli_R/1004.png,0.42,27.0
children,R,1005.png,../data/children/stimuli_R/1005.png,0.64,82.0
children,R,1006.png,../data/children/stimuli_R/1006.png,0.47,38.0
children,R,1007.png,../data/children/stimuli_R/1007.png,0.56,62.0
children,R,1008.png,../data/children/stimuli_R/1008.png,0.53,56.0
children,R,1009.png,../data/children/stimuli_R/1009.png,0.56,62.0
children,R,1010.png,../data/children/stimuli_R/1010.png,0.46,37.0
children,R,1011.png,../data/children/stimuli_R/1011.png,0.6,73.0
children,R,1012.png,../data/children/stimuli_R/1012.png,0.39,21.0
children,R,1013.png,../data/children/stimuli_R/1013.png,0.48,40.0
children,R,1014.png,../data/children/stimuli_R/1014.png,0.58,68.0
children,R,1015.png,../data/children/stimuli_R/1015.png,0.66,85.0
children,R,1016.png,../data/children/stimuli_R/1016.png,0.56,61.0
children,R,1017.png,../data/children/stimuli_R/1017.png,0.39,21.0
children,R,1018.png,../data/children/stimuli_R/1018.png,0.34,7.0
children,R,1019.png,../data/children/stimuli_R/1019.png,0.43,30.0
children,R,1020.png,../data/children/stimuli_R/1020.png,0.45,34.0
children,R,1022.png,../data/children/stimuli_R/1022.png,0.43,30.0
children,R,1023.png,../data/children/stimuli_R/1023.png,0.55,59.0
children,R,1024.png,../data/children/stimuli_R/1024.png,0.59,71.0
children,R,1025.png,../data/children/stimuli_R/1025.png,0.58,68.0
children,R,1026.png,../data/children/stimuli_R/1026.png,0.6,74.0
children,R,1027.png,../data/children/stimuli_R/1027.png,0.64,81.0
children,R,1028.png,../data/children/stimuli_R/1028.png,0.45,35.0
children,R,1029.png,../data/children/stimuli_R/1029.png,0.25,0.0
children,R,2001.png,../data/children/stimuli_R/2001.png,0.44,32.0
children,R,2002.png,../data/children/stimuli_R/2002.png,0.5,47.0
children,R,2003.png,../data/children/stimuli_R/2003.png,0.56,62.0
children,R,2004.png,../data/children/stimuli_R/2004.png,0.5,47.0
children,R,2009.png,../data/children/stimuli_R/2009.png,0.11,0.0
children,R,2010.png,../data/children/stimuli_R/2010.png,0.35,10.0
children,R,2011.png,../data/children/stimuli_R/2011.png,0.35,11.0
children,R,2012.png,../data/children/stimuli_R/2012.png,0.52,52.0
children,R,2013.png,../data/children/stimuli_R/2013.png,0.59,71.0
children,R,2014.png,../data/children/stimuli_R/2014.png,0.63,80.0
children,R,2015.png,../data/children/stimuli_R/2015.png,0.56,63.0
children,R,2016.png,../data/children/stimuli_R/2016.png,0.59,69.0
children,R,2017.png,../data/children/stimuli_R/2017.png,0.56,62.0
children,R,2018.png,../data/children/stimuli_R/2018.png,0.22,0.0
children,R,3001.png,../data/children/stimuli_R/3001.png,0.32,5.0
children,R,3002.png,../data/children/stimuli_R/3002.png,0.48,42.0
children,R,3005.png,../data/children/stimuli_R/3005.png,0.6,73.0
children,R,3007.png,../data/children/stimuli_R/3007.png,0.4,24.0
children,R,3008.png,../data/children/stimuli_R/3008.png,0.46,36.0
children,R,3009.png,../data/children/stimuli_R/3009.png,0.37,15.0
children,R,3010.png,../data/children/stimuli_R/3010.png,0.43,30.0
children,R,3011.png,../data/children/stimuli_R/3011.png,0.54,56.0
children,R,3013.png,../data/children/stimuli_R/3013.png,0.5,48.0
children,R,3016.png,../data/children/stimuli_R/3016.png,0.45,33.0
children,R,3017.png,../data/children/stimuli_R/3017.png,0.31,3.0
children,R,3018.png,../data/children/stimuli_R/3018.png,0.44,33.0
children,R,3020.png,../data/children/stimuli_R/3020.png,0.44,32.0
children,R,3022.png,../data/children/stimuli_R/3022.png,0.59,71.0
children,R,3023.png,../data/children/stimuli_R/3023.png,0.23,0.0
