creator,stimuli,image,filepath,blip_caption
adults,I,103__3833_11.jpg,../data/adults/stimuli_I/103__3833_11.jpg,a drawing of a cartoon oven with a pot on the stove
adults,I,110__3847_11.jpg,../data/adults/stimuli_I/110__3847_11.jpg,a drawing of a building with a flag on top of it
adults,I,113__3869_11.jpg,../data/adults/stimuli_I/113__3869_11.jpg,a drawing of a jar with a name on it
adults,I,138__5326_11.jpg,../data/adults/stimuli_I/138__5326_11.jpg,a black and white drawing of a person walking through a window
adults,I,140__3911_11.jpg,../data/adults/stimuli_I/140__3911_11.jpg,a drawing of a cartoon character holding a sign
adults,I,157__3923_11.jpg,../data/adults/stimuli_I/157__3923_11.jpg,a close up of a drawing of a face with a line in the middle
adults,I,1621__1234_11.jpg,../data/adults/stimuli_I/1621__1234_11.jpg,a drawing of a man and a woman standing next to each other
adults,I,1622__7240_11.jpg,../data/adults/stimuli_I/1622__7240_11.jpg,a drawing of a leaf with a line drawing of a tree
adults,I,1626__1257_11.jpg,../data/adults/stimuli_I/1626__1257_11.jpg,a drawing of a person on a swing with a person on a bench
adults,I,1663__1267_11.jpg,../data/adults/stimuli_I/1663__1267_11.jpg,a drawing of a house with a door and a window
adults,I,1664__1277_11.jpg,../data/adults/stimuli_I/1664__1277_11.jpg,a drawing of a bird cage with a bird inside of it
adults,I,1665__362_11.jpg,../data/adults/stimuli_I/1665__362_11.jpg,drawing of a person in a box with a bird on top
adults,I,1666__1296_11.jpg,../data/adults/stimuli_I/1666__1296_11.jpg,a drawing of a dog and a cat are standing under a umbrella
adults,I,1667__1308_11.jpg,../data/adults/stimuli_I/1667__1308_11.jpg,a drawing of a castle with a door and a staircase
adults,I,1675__9726_11.jpg,../data/adults/stimuli_I/1675__9726_11.jpg,a drawing of a person holding a baby in a tree
adults,I,1676__9738_11.jpg,../data/adults/stimuli_I/1676__9738_11.jpg,a drawing of a kettle with a big lid on it
adults,I,16__3474_11.jpg,../data/adults/stimuli_I/16__3474_11.jpg,a drawing of a ghost with eyes drawn on it
adults,I,1740__1330_11.jpg,../data/adults/stimuli_I/1740__1330_11.jpg,a black and white drawing of a person holding a sign
adults,I,1741__1338_11.jpg,../data/adults/stimuli_I/1741__1338_11.jpg,a close up of a person wearing a helmet and a shirt
adults,I,1743__1356_11.jpg,../data/adults/stimuli_I/1743__1356_11.jpg,a drawing of a popsicle with a long black cord
adults,I,1744__1366_11.jpg,../data/adults/stimuli_I/1744__1366_11.jpg,a black and white drawing of a tall arch with a window
adults,I,1748__1376_11.jpg,../data/adults/stimuli_I/1748__1376_11.jpg,a black and white drawing of a lock with a man inside
adults,I,1749__381_11.jpg,../data/adults/stimuli_I/1749__381_11.jpg,drawing of a person holding a sign with a brain on it
adults,I,174__3968_11.jpg,../data/adults/stimuli_I/174__3968_11.jpg,a drawing of a man and woman sitting under an umbrella
adults,I,1750__1389_11.jpg,../data/adults/stimuli_I/1750__1389_11.jpg,a drawing of a lock with a key on it
adults,I,1751__1401_11.jpg,../data/adults/stimuli_I/1751__1401_11.jpg,a drawing of a church with a cross on the front
adults,I,1753__1412_11.jpg,../data/adults/stimuli_I/1753__1412_11.jpg,a drawing of a box with a cartoon face on it
adults,I,1755__1421_11.jpg,../data/adults/stimuli_I/1755__1421_11.jpg,a cartoon drawing of a man sitting at a desk with a laptop
adults,I,180__4002_11.jpg,../data/adults/stimuli_I/180__4002_11.jpg,a drawing of a boat with a door and a window
adults,I,181__5395_11.jpg,../data/adults/stimuli_I/181__5395_11.jpg,a drawing of a cat ' s face with a teapot on top
adults,I,182__5407_11.jpg,../data/adults/stimuli_I/182__5407_11.jpg,a drawing of a church with a cross on top of it
adults,I,183__5419_11.jpg,../data/adults/stimuli_I/183__5419_11.jpg,a drawing of a box with a light coming out of it
adults,I,197__5471_11.jpg,../data/adults/stimuli_I/197__5471_11.jpg,a drawing of a castle with a flag on top of it
adults,I,203__4074_11.jpg,../data/adults/stimuli_I/203__4074_11.jpg,a drawing of a face with a tie around it
adults,I,21__3509_11.jpg,../data/adults/stimuli_I/21__3509_11.jpg,a black and white drawing of a church with a cross on top
adults,I,223__4144_11.jpg,../data/adults/stimuli_I/223__4144_11.jpg,a drawing of a man with a hat on his head
adults,I,242__4168_11.jpg,../data/adults/stimuli_I/242__4168_11.jpg,a drawing of a house with a door and a window
adults,I,247__4180_11.jpg,../data/adults/stimuli_I/247__4180_11.jpg,cartoon drawing of a robot with a phone and a person
adults,I,259__4204_11.jpg,../data/adults/stimuli_I/259__4204_11.jpg,a drawing of a person with a hat on their head
adults,I,263__7334_11.jpg,../data/adults/stimuli_I/263__7334_11.jpg,drawing of a man with a hat on his head and a table with a lamp on it
adults,I,265__5605_11.jpg,../data/adults/stimuli_I/265__5605_11.jpg,a drawing of a robot with a sign in his hands
adults,I,269__4250_11.jpg,../data/adults/stimuli_I/269__4250_11.jpg,a drawing of a basketball player shooting a ball with a basketball net
adults,I,26__3554_11.jpg,../data/adults/stimuli_I/26__3554_11.jpg,a drawing of a man with a hat on top of a pole
adults,I,275__4261_11.jpg,../data/adults/stimuli_I/275__4261_11.jpg,a drawing of a person holding a sign with a hat on top
adults,I,27__5150_11.jpg,../data/adults/stimuli_I/27__5150_11.jpg,a close up of a black and white drawing of a spider
adults,I,285__4285_11.jpg,../data/adults/stimuli_I/285__4285_11.jpg,a drawing of a man with a beard and a computer mouse
adults,I,287__5662_11.jpg,../data/adults/stimuli_I/287__5662_11.jpg,a drawing of a cartoon character with a big smile on his face
adults,I,298__4325_11.jpg,../data/adults/stimuli_I/298__4325_11.jpg,a drawing of a bird standing on a ledge next to a window
adults,I,301__5704_11.jpg,../data/adults/stimuli_I/301__5704_11.jpg,a drawing of a sign with headphones on it that says music
adults,I,302__4348_11.jpg,../data/adults/stimuli_I/302__4348_11.jpg,a drawing of a bottle of liquid with a cap on top
adults,I,315__5728_11.jpg,../data/adults/stimuli_I/315__5728_11.jpg,a drawing of a drawing of a building with a heart in the middle
adults,I,324__5745_11.jpg,../data/adults/stimuli_I/324__5745_11.jpg,a drawing of a door with a hole in the middle
adults,I,32__3578_11.jpg,../data/adults/stimuli_I/32__3578_11.jpg,a drawing of a man holding a sign with his hands
