"Id","model","AIC","BIC","AIC.BIC.Var","Rsq.train.mean","Rsq.train.var","Rsq.test.mean","Rsq.test.var","Spearman.train.mean","Spearman.train.var","Spearman.test.mean","Spearman.test.var","RMSE.train.mean","RMSE.train.var","RMSE.test.mean","RMSE.test.var"
"1","mean_originality ~ 1 + (1 | subgroup)","2384.6","2399","1280.9","0.18","1.5e-06","0.18","5.7e-06","0.41","1.9e-05","0.41","7.2e-05","0.9","0.00033","0.91","0.0013"
"2","mean_originality ~ ink_density + (1 | subgroup)","2045.6","2064.8","1106.6","0.44","0.00038","0.43","0.0012","0.74","0.00026","0.74","0.0013","0.75","0.00018","0.76","0.0013"
"3","mean_originality ~ ink_fraction_inside_stimulus + (1 | subgroup)","2296.8","2315.9","1114.2","0.26","2.5e-05","0.26","1e-04","0.52","3.1e-05","0.51","0.00012","0.86","0.00026","0.86","0.0011"
"4","mean_originality ~ number_of_components + (1 | subgroup)","2383.8","2403","1199.6","0.19","2.6e-05","0.17","0.00041","0.46","0.00011","0.45","0.00026","0.9","0.00031","0.91","0.0017"
"5","mean_originality ~ number_of_lines + (1 | subgroup)","2267.7","2286.9","787.9","0.29","6.2e-05","0.28","3e-04","0.6","7.3e-05","0.6","0.0016","0.84","0.00018","0.85","0.00068"
"6","mean_originality ~ used_stimulus + (1 | subgroup)","2386.2","2405.4","1383.2","0.19","5.9e-06","0.18","1.7e-05","0.42","6.3e-07","0.41","5.5e-06","0.9","0.00036","0.9","0.0014"
"7","mean_originality ~ ink_density + ink_fraction_inside_stimulus + number_of_components + number_of_lines + used_stimulus + (1 | subgroup)","1984.9","2023.2","768.9","0.5","0.00023","0.48","0.00086","0.75","4e-04","0.75","0.00064","0.71","0.00011","0.72","0.00082"
"8","mean_originality ~ dist_from_base_shape_clip + (1 | subgroup)","2027.7","2046.9","155.5","0.46","0.00031","0.45","0.0013","0.66","7.1e-05","0.65","0.00015","0.74","2.7e-05","0.74","0.00011"
"9","mean_originality ~ text_10NN_gtelarge + (1 | subgroup)","2322.9","2342.1","1649","0.24","6.9e-05","0.24","0.00032","0.51","0.00012","0.5","5e-04","0.87","4e-04","0.87","0.0017"
"10","mean_originality ~ image_10NN_clip + (1 | subgroup)","2204.6","2223.7","1486.5","0.34","2.6e-05","0.33","0.00015","0.6","7.8e-05","0.6","0.00021","0.81","0.00031","0.82","0.0013"
"11","mean_originality ~ inverse_category_frequency + (1 | subgroup)","2352.6","2371.7","1210.7","0.22","3.9e-05","0.21","0.00017","0.47","4e-05","0.46","0.00012","0.88","3e-04","0.89","0.0013"
"12","mean_originality ~ inverse_cluster_frequency_gtelarge + (1 | subgroup)","2384.9","2404.1","1447.4","0.19","2.8e-05","0.18","0.00016","0.43","5.3e-05","0.43","0.00026","0.9","0.00038","0.91","0.0015"
"13","mean_originality ~ category_hard_to_interpret + (1 | subgroup)","2376.9","2396","1179.4","0.19","1.2e-05","0.19","5.2e-05","0.43","1.3e-05","0.43","8.4e-05","0.9","3e-04","0.9","0.0013"
"14","mean_originality ~ gpt_hard_to_interpret + (1 | subgroup)","2385.5","2404.6","1321","0.19","9.6e-06","0.18","5.4e-05","0.42","9.5e-06","0.42","8.3e-05","0.9","0.00034","0.91","0.0014"
"15","mean_originality ~ dist_from_base_shape_clip + text_10NN_gtelarge + image_10NN_clip + inverse_category_frequency + category_hard_to_interpret + (1 | subgroup)","2019.7","2058.1","471.9","0.48","0.00027","0.47","0.0012","0.68","0.00016","0.67","3e-04","0.72","8e-05","0.73","0.00033"
"16","mean_originality ~ dist_from_base_shape_clip + text_10NN_gtelarge + image_10NN_clip + inverse_cluster_frequency_gtelarge + gpt_hard_to_interpret + (1 | subgroup)","1997.4","2035.7","184.1","0.49","0.00027","0.48","0.0013","0.69","7.1e-05","0.68","0.00023","0.71","3.1e-05","0.72","0.00012"
"17","mean_originality ~ (dist_from_base_shape_clip + text_10NN_gtelarge) * (used_stimulus + category_hard_to_interpret) + (1 | subgroup)","2041.6","2094.3","226.2","0.48","0.00023","0.47","0.00092","0.67","6.6e-05","0.67","0.00014","0.72","3.7e-05","0.73","0.00017"
"18","mean_originality ~ used_stimulus + category_hard_to_interpret + dist_from_base_shape_clip + text_10NN_gtelarge + (1 | subgroup)","2031.8","2065.4","259.3","0.47","0.00025","0.46","0.0011","0.66","9.1e-05","0.66","0.00018","0.73","4.4e-05","0.74","0.00018"
"19","mean_originality ~ ink_density + dist_from_base_shape_clip + image_10NN_clip + (1 | subgroup)","1763.7","1792.4","1621.7","0.6","7e-04","0.59","0.0029","0.79","0.00018","0.78","0.00049","0.63","0.00019","0.65","0.0011"
"20","mean_originality ~ ink_density * (dist_from_base_shape_clip + image_10NN_clip) + (1 | subgroup)","1740.4","1778.7","732.6","0.62","0.00057","0.61","0.0025","0.78","0.00015","0.78","0.00047","0.62","8.3e-05","0.63","0.00048"
"21","mean_originality ~ dist_from_base_shape_clip * (ink_density + image_10NN_clip) + (1 | subgroup)","1710.6","1749","408.2","0.63","0.00046","0.62","0.002","0.78","2e-04","0.78","0.00053","0.61","4.4e-05","0.62","0.00025"
"22","mean_originality ~ ink_density + dist_from_base_shape_clip + image_10NN_clip + text_10NN_gtelarge + used_stimulus + category_hard_to_interpret + (1 | subgroup)","1776.8","1819.9","1635.8","0.6","0.00065","0.59","0.0027","0.79","0.00022","0.79","0.00053","0.63","0.00019","0.64","0.0011"
