"Id","model","AIC","BIC","AIC.BIC.Var","Rsq.train.mean","Rsq.train.var","Rsq.test.mean","Rsq.test.var","Spearman.train.mean","Spearman.train.var","Spearman.test.mean","Spearman.test.var","RMSE.train.mean","RMSE.train.var","RMSE.test.mean","RMSE.test.var"
"1","mean_creativity ~ 1 + (1 | subgroup)","2456","2470.4","1230.4","0.11","6.5e-06","0.1","1.1e-05","0.32","3.4e-05","0.32","0.00019","0.94","0.00033","0.95","0.0014"
"2","mean_creativity ~ ink_density + (1 | subgroup)","2407","2426.2","959.5","0.17","4e-05","0.16","8.8e-05","0.43","6.1e-05","0.42","0.00081","0.91","0.00024","0.92","0.0011"
"3","mean_creativity ~ ink_fraction_inside_stimulus + (1 | subgroup)","2422.2","2441.4","1054.5","0.15","1.8e-05","0.15","4.6e-05","0.38","1.7e-06","0.37","5.7e-05","0.92","0.00027","0.92","0.0012"
"4","mean_creativity ~ number_of_components + (1 | subgroup)","2448.5","2467.7","864.7","0.13","7e-05","0.1","0.00052","0.38","4.6e-05","0.37","0.00069","0.93","0.00024","0.95","0.0012"
"5","mean_creativity ~ number_of_lines + (1 | subgroup)","2454","2473.2","1371.3","0.12","2.8e-05","0.11","1e-04","0.37","1e-04","0.37","0.00037","0.94","0.00037","0.94","0.0015"
"6","mean_creativity ~ used_stimulus + (1 | subgroup)","2348.7","2367.9","1785","0.21","7.1e-05","0.2","0.00051","0.43","2.9e-05","0.42","0.00012","0.89","0.00042","0.89","0.0018"
"7","mean_creativity ~ ink_density + ink_fraction_inside_stimulus + number_of_components + number_of_lines + used_stimulus + (1 | subgroup)","2253.2","2291.5","741.4","0.32","0.00021","0.29","0.0013","0.57","0.00058","0.56","0.00025","0.83","0.00014","0.84","0.0011"
"8","mean_creativity ~ dist_from_base_shape_clip + (1 | subgroup)","2117.4","2136.6","442.2","0.4","8e-04","0.39","0.0029","0.64","0.00064","0.63","0.0024","0.77","8.3e-05","0.78","0.00039"
"9","mean_creativity ~ text_10NN_gtelarge + (1 | subgroup)","2281.4","2300.5","877.4","0.28","0.00032","0.27","0.0011","0.52","0.00013","0.51","5e-04","0.85","2e-04","0.86","0.00093"
"10","mean_creativity ~ image_10NN_clip + (1 | subgroup)","2387.6","2406.8","467.5","0.19","0.00023","0.17","0.00076","0.4","0.00022","0.39","0.00087","0.9","0.00012","0.91","0.00059"
"11","mean_creativity ~ inverse_category_frequency + (1 | subgroup)","2369.3","2388.5","912.2","0.2","0.00018","0.2","0.00077","0.45","0.00032","0.45","0.0023","0.89","0.00023","0.9","0.00092"
"12","mean_creativity ~ inverse_cluster_frequency_gtelarge + (1 | subgroup)","2434.7","2453.9","1029","0.14","4.6e-05","0.13","0.00017","0.37","1.1e-06","0.36","0.00017","0.93","0.00027","0.93","0.0012"
"13","mean_creativity ~ category_hard_to_interpret + (1 | subgroup)","2134.6","2153.8","1730.3","0.38","3.8e-05","0.38","0.00016","0.6","4.5e-05","0.6","0.00017","0.79","0.00033","0.79","0.0013"
"14","mean_creativity ~ gpt_hard_to_interpret + (1 | subgroup)","2329","2348.2","1506.6","0.23","0.00037","0.23","0.0014","0.49","0.00037","0.49","0.0014","0.88","0.00036","0.88","0.0017"
"15","mean_creativity ~ dist_from_base_shape_clip + text_10NN_gtelarge + image_10NN_clip + inverse_category_frequency + category_hard_to_interpret + (1 | subgroup)","1854.7","1893","275.1","0.57","0.00021","0.56","0.00071","0.77","0.00012","0.76","0.00056","0.66","3.9e-05","0.67","0.00017"
"16","mean_creativity ~ dist_from_base_shape_clip + text_10NN_gtelarge + image_10NN_clip + inverse_cluster_frequency_gtelarge + gpt_hard_to_interpret + (1 | subgroup)","2040.7","2079","825.1","0.46","0.00069","0.46","0.0024","0.69","0.00041","0.68","0.0016","0.73","0.00014","0.74","0.00064"
"17","mean_creativity ~ (dist_from_base_shape_clip + text_10NN_gtelarge) * (used_stimulus + category_hard_to_interpret) + (1 | subgroup)","1786.6","1839.4","184","0.6","0.00022","0.6","0.00077","0.79","0.00012","0.79","0.00036","0.63","2.8e-05","0.64","0.00011"
"18","mean_creativity ~ used_stimulus + category_hard_to_interpret + dist_from_base_shape_clip + text_10NN_gtelarge + (1 | subgroup)","1834.1","1867.7","439.2","0.57","0.00021","0.56","0.00075","0.78","0.00013","0.78","0.00056","0.66","6.1e-05","0.66","0.00029"
"19","mean_creativity ~ ink_density + dist_from_base_shape_clip + image_10NN_clip + (1 | subgroup)","2115.4","2144.2","267.1","0.41","0.00064","0.4","0.0023","0.64","0.00056","0.63","0.0021","0.77","4.8e-05","0.77","0.00026"
"20","mean_creativity ~ ink_density * (dist_from_base_shape_clip + image_10NN_clip) + (1 | subgroup)","2125.6","2164","212.5","0.41","0.00068","0.4","0.0024","0.64","0.00064","0.63","0.0024","0.77","3.5e-05","0.77","0.00017"
"21","mean_creativity ~ dist_from_base_shape_clip * (ink_density + image_10NN_clip) + (1 | subgroup)","2111.6","2149.9","57.6","0.42","0.00048","0.41","0.0017","0.65","5e-04","0.64","0.0023","0.76","8.4e-06","0.77","7.4e-05"
"22","mean_creativity ~ ink_density + dist_from_base_shape_clip + image_10NN_clip + text_10NN_gtelarge + used_stimulus + category_hard_to_interpret + (1 | subgroup)","1815","1858.2","254.9","0.59","0.00015","0.58","0.00046","0.79","9.3e-05","0.79","0.00034","0.64","3.3e-05","0.65","0.00017"
